team_name,age_group,gender,source,points,state,rank,url
Azzurri FC,U11,Male,GotSport Rankings,0,BC,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=163
Surrey FC 2014G Selects,U12,Female,GotSport Rankings,0,BC,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=12&search[gender]=f&search[page]=118
2012 Coyotes,U14,Male,GotSport Rankings,0,BC,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=249
2011B BCSPL,U15,Male,GotSport Rankings,0,BC,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=15&search[gender]=m&search[page]=125
Azzurri,U16,Female,GotSport Rankings,0,BC,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=16&search[gender]=f&search[page]=148
24/25 U15G Div 1 Rangers (Narveaz),U16,Female,GotSport Rankings,0,BC,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=16&search[gender]=f&search[page]=177
