provider,team_id_source,team_id_master,team,club,opponent,opponent_id_master,age_group,gender,state,date,home_away,gf,ga,result,competition,venue,city,source_url,scraped_at
gotsport,404346.0,fb94d4a6e71d,Libertyville FC 1974 Orange-16 Girls,Greater Libertyville Soccer Association,Wheaton United 2016G Academy,401904,U10,F,IL,2025-10-12,A,5.0,1.0,W,Soccer Tournament,LTSC,,https://rankings.gotsport.com/teams/404346.0/game-history,2025-10-16T17:28:11.333035
gotsport,407364.0,aaf3a0c0f8cb,Quad Cities Rush 2016 Girls,Quad Cities Rush,FC Central Illinois 2016 G Select,266276,U10,F,IL,2025-10-12,A,2.0,2.0,D,Oktoberfest,Peoria FC United - Midwest Sports Complex,,https://rankings.gotsport.com/teams/407364.0/game-history,2025-10-16T17:28:17.633001
gotsport,389142.0,f60914a98348,2016 PFCU Wave,Peoria FC United,2016 PFCU Racing,431236,U10,F,IL,2025-10-12,H,1.0,0.0,W,Oktoberfest,Peoria FC United - Midwest Sports Complex,,https://rankings.gotsport.com/teams/389142.0/game-history,2025-10-16T17:27:45.994995
gotsport,409985.0,705d560762b5,Morton United FC 2016 Girls Gray,Morton United FC,BSA 2016 Girls White,527645,U10,F,IL,2025-10-12,A,0.0,2.0,L,Midwest Columbus Day Cup,TBK Bank Sports Complex ILLOWA ONLY,,https://rankings.gotsport.com/teams/409985.0/game-history,2025-10-16T17:28:22.328738
gotsport,404346.0,fb94d4a6e71d,Libertyville FC 1974 Orange-16 Girls,Greater Libertyville Soccer Association,RAPTORS CLUB,554271,U10,F,IL,2025-10-12,A,2.0,5.0,L,Soccer Tournament,LTSC,,https://rankings.gotsport.com/teams/404346.0/game-history,2025-10-16T17:28:11.333057
gotsport,412232.0,f2c60aadfc81,Palatine Celtic 2016G Black,Palatine Celtic SC,PRSC 2016 G Orange,553853,U10,F,IL,2025-10-12,A,2.0,3.0,L,Soccer Tournament,LTSC,,https://rankings.gotsport.com/teams/412232.0/game-history,2025-10-16T17:28:29.836955
gotsport,656300.0,00fc6c2df0b9,Libertyville FC 1974 Black-16 Girls 2,Greater Libertyville Soccer Association,CFYSC 2016G Premier Red,553713,U10,F,IL,2025-10-12,A,0.0,5.0,L,Soccer Tournament,LTSC,,https://rankings.gotsport.com/teams/656300.0/game-history,2025-10-16T17:31:12.340974
gotsport,431236.0,429c62e51528,2016 PFCU Racing,Peoria FC United,2016 PFCU Wave,389142,U10,F,IL,2025-10-12,A,0.0,1.0,L,Oktoberfest,Peoria FC United - Midwest Sports Complex,,https://rankings.gotsport.com/teams/431236.0/game-history,2025-10-16T17:28:50.385536
gotsport,329735.0,c75eeb321f0b,SASA Spirits 2016G East,SASA Spirits SC,SLSG IL G 2016 Elite Black,627756,U10,F,IL,2025-10-12,H,2.0,1.0,W,St. Louis Scott Gallagher Fall Festival,OFSP,,https://rankings.gotsport.com/teams/329735.0/game-history,2025-10-16T17:27:25.075784
gotsport,663023.0,c98de4af86c2,Bloomingdale Lightning Blue 16G,BLFC,Roadrunners SC G2017 Black,597533,U10,F,IL,2025-10-12,H,9.0,0.0,W,Sockers FC Chicago Fall Classic Cup,Olympic Park (SFC),,https://rankings.gotsport.com/teams/663023.0/game-history,2025-10-16T17:31:17.274646
gotsport,259319.0,c9a992bc1157,SASA Spirits 2016G West,SASA Spirits SC,SLSG MO G 2016 Manchester United,255557,U10,F,IL,2025-10-12,A,1.0,3.0,L,St. Louis Scott Gallagher Fall Festival,OFSP,,https://rankings.gotsport.com/teams/259319.0/game-history,2025-10-16T17:27:08.492983
gotsport,623738.0,17e72cac9d92,Impact FC 16/17 Girls,Impact FC,2017 PFCU Pride,389140,U10,F,IL,2025-10-12,A,4.0,1.0,W,Oktoberfest,Peoria FC United - Midwest Sports Complex,,https://rankings.gotsport.com/teams/623738.0/game-history,2025-10-16T17:30:50.008390
gotsport,554271.0,e13fade9a92b,RAPTORS CLUB,,Pegasus FC/1974 Girls 2016 Red,401744,U10,F,IL,2025-10-12,H,7.0,1.0,W,Soccer Tournament,LTSC,,https://rankings.gotsport.com/teams/554271.0/game-history,2025-10-16T17:30:15.344403
gotsport,554271.0,e13fade9a92b,RAPTORS CLUB,,Libertyville FC 1974 Orange-16 Girls,404346,U10,F,IL,2025-10-12,H,5.0,2.0,W,Soccer Tournament,LTSC,,https://rankings.gotsport.com/teams/554271.0/game-history,2025-10-16T17:30:15.344350
gotsport,539055.0,0ad18aaa1769,Orland Park Sting FC 2016 Girls,Orland Park Sting FC,SLSG MO G 2016 Chelsea,338931,U10,F,IL,2025-10-12,A,3.0,3.0,D,St. Louis Scott Gallagher Fall Festival,OFSP,,https://rankings.gotsport.com/teams/539055.0/game-history,2025-10-16T17:29:52.357014
gotsport,401904.0,a317f55c5e07,Wheaton United 2016G Academy,Wheaton United SC,Libertyville FC 1974 Orange-16 Girls,404346,U10,F,IL,2025-10-12,H,1.0,5.0,L,Soccer Tournament,LTSC,,https://rankings.gotsport.com/teams/401904.0/game-history,2025-10-16T17:28:03.847656
gotsport,307082.0,cf704481dd07,EMSSC U10G Sugar Rush,East Moline Silvis Soccer Club,FC Central Illinois 2017 Girls,514763,U10,F,IL,2025-10-12,A,7.0,1.0,W,Oktoberfest,Peoria FC United - Midwest Sports Complex,,https://rankings.gotsport.com/teams/307082.0/game-history,2025-10-16T17:27:20.471923
gotsport,401744.0,c084377367f7,Pegasus FC/1974 Girls 2016 Red,Pegasus FC,RAPTORS CLUB,554271,U10,F,IL,2025-10-12,A,1.0,7.0,L,Soccer Tournament,LTSC,,https://rankings.gotsport.com/teams/401744.0/game-history,2025-10-16T17:27:59.732882
gotsport,553713.0,a50960119b6d,CFYSC 2016G Premier Red,Chicago Fire Youth SC (CFYSC),Libertyville FC 1974 Black-16 Girls 2,656300,U10,F,IL,2025-10-12,H,5.0,0.0,W,Soccer Tournament,LTSC,,https://rankings.gotsport.com/teams/553713.0/game-history,2025-10-16T17:30:12.499937
gotsport,266276.0,3cba6e4e6d68,FC Central Illinois 2016 G Select,FC Central Illinois,Quad Cities Rush 2016 Girls,407364,U10,F,IL,2025-10-12,H,2.0,2.0,D,Oktoberfest,Peoria FC United - Midwest Sports Complex,,https://rankings.gotsport.com/teams/266276.0/game-history,2025-10-16T17:27:12.733494
gotsport,623738.0,17e72cac9d92,Impact FC 16/17 Girls,Impact FC,EMSSC U10G Sugar Rush,307082,U10,F,IL,2025-10-11,H,0.0,2.0,L,Oktoberfest,Peoria FC United - Midwest Sports Complex,,https://rankings.gotsport.com/teams/623738.0/game-history,2025-10-16T17:30:50.008461
gotsport,630434.0,4be5b0cac188,Metro Alliance FC 2016G Navy,Metro Alliance FC ,SCFC 16G,618492,U10,F,IL,2025-10-11,H,4.0,1.0,W,Fall,xBelle Clair Soccer Park,,https://rankings.gotsport.com/teams/630434.0/game-history,2025-10-16T17:30:55.780810
gotsport,431236.0,429c62e51528,2016 PFCU Racing,Peoria FC United,Quad Cities Rush 2016 Girls,407364,U10,F,IL,2025-10-11,H,3.0,1.0,W,Oktoberfest,Peoria FC United - Midwest Sports Complex,,https://rankings.gotsport.com/teams/431236.0/game-history,2025-10-16T17:28:50.385571
gotsport,412232.0,f2c60aadfc81,Palatine Celtic 2016G Black,Palatine Celtic SC,KICS FC (CITY) 2016 Girls,478045,U10,F,IL,2025-10-11,H,0.0,5.0,L,Soccer Tournament,LTSC,,https://rankings.gotsport.com/teams/412232.0/game-history,2025-10-16T17:28:29.837038
