team_id_master,team_id_source,team_name,club_name,state,gender,age_group
b0db2655afdc,506851.0,Northwest 2016 Boys Red,,AZ,M,U10
70af9266200f,506983.0,Deportivo Coras USA 2016 B,,AZ,M,U10
d77409c40e58,509901.0,AZ Arsenal 16 Boys Flagstaff PM,,AZ,M,U10
878ac6827dec,511848.0,Amore 2016 Boys,,AZ,M,U10
95538dc7b178,515173.0,16B LaTurco,,AZ,M,U10
ec3ee81d5277,521036.0,Southeast 2016 Boys Green,,AZ,M,U10
a9e6b6771c45,523220.0,2016 Boys Blue,,AZ,M,U10
ec51920454f7,545074.0,SCUM East Valley 16BE Ninjas,,AZ,M,U10
8bee7d17f66b,555170.0,Blue Devils,,AZ,M,U10
14e56669cd72,556277.0,16/17B Galindo Nogales,,AZ,M,U10
8d124b2ef83a,558311.0,16B Bernal,,AZ,M,U10
948775b1537b,559209.0,Wolves 16/17 B,,AZ,M,U10
e7f19fe2a1d7,570666.0,SASC 2016B Cardinals Alvarez,,AZ,M,U10
a7ce8c096cb3,576566.0,Northwest 2016 Boys Blue,,AZ,M,U10
69ebb1e68598,577736.0,Vipers FC 2016B,,AZ,M,U10
0dbc19019cb8,596826.0,SFC XOLOS ARIZONA 2016B,,AZ,M,U10
f8ed8ba23a39,610777.0,State 48 FC 16 Elite,,AZ,M,U10
5cf7112bcd00,613559.0,CCV Stars 16 Boys South Navy,,AZ,M,U10
f5cb020ee07c,614082.0,Bala FC - 2016B,,AZ,M,U10
bd1e6b7c61ff,615529.0,BRAZAS FC 2016 Boys Black,,AZ,M,U10
8110abef0cd5,615530.0,BRAZAS FC 2016 Boys Gold,,AZ,M,U10
07c571d935c3,615647.0,Tuzos Chandler 2016/17 boys,,AZ,M,U10
5e40067582ca,615779.0,16B Moyer,,AZ,M,U10
23c7644de303,615780.0,16B Callaghan,,AZ,M,U10
3ef0a4db4a02,618070.0,PRFC Scottsdale 16B Gazelle,,AZ,M,U10
ddf5e949b531,623315.0,U-10 (2016) Boys Pre Academy Orange,,AZ,M,U10
d77567d63213,625236.0,Ascent United 2016/17 Boys,,AZ,M,U10
91c9dde9ea6b,635829.0,FC Sonora 16' B United,,AZ,M,U10
14f969b9d911,635995.0,Playmaker Futbol Academy 16B Gold,,AZ,M,U10
7c493f5eb8ca,635996.0,Playmaker Futbol Academy 16/17B White,,AZ,M,U10
00bd8a47f411,636063.0,16B Hosseinmardi,,AZ,M,U10
3062514a1378,636064.0,16B Steve,,AZ,M,U10
7060a989b97c,636065.0,16B Herrera,,AZ,M,U10
b355c25077e4,637461.0,SASC 2016 B u10 Cardinals Whitney,,AZ,M,U10
4e6d69b14d20,643572.0,Tuzos Legends 2016,,AZ,M,U10
2f9a792b47c9,647536.0,Spartak Academy 2016/17 Boys,,AZ,M,U10
ec7af30c4b21,651846.0,Rangers 16B,,AZ,M,U10
e03398c02821,663144.0,FC Dorados 2016,,AZ,M,U10
91766eb54d93,666818.0,Chelsea 16B,,AZ,M,U10
