team_id_master,team,state,gender,age_group,component_id,component_size,degree
68cf5bf25d41,VALUSC 2015 Boys,CA,M,U11,0,23630,35
e1b4327fbb1e,Medford Strikers 2015 Boys,NJ,M,U11,0,23630,29
6bffbd46a24c,Southampton Vikings,PA,M,U11,0,23630,17
7f8db8d8ccb4,Cleveland Force 15B White West,OH,M,U11,0,23630,19
6c0b2280551c,BVB 15B Yellow South (Rivas),TX,M,U11,0,23630,33
4fb1aa5a798d,Pre-Academy 15B,PA,M,U11,0,23630,41
88f33300923c,Sting Attack Waco B15 Gonzalez - ARCHIVE,TX,M,U11,0,23630,22
0e07f6564541,UVSF United '15 Marostica,ID,M,U11,0,23630,15
f69c4e0051da,IFA South Shore 2015 Boys Blue,MA,M,U11,0,23630,25
a58d0cc24c69,FC Dallas Youth Pre ECNL B15 Reyes,TX,M,U11,0,23630,22
d6b7ce2018c7,Lobitos S.C. - Jaguares-15B,CA,M,U11,0,23630,21
c4eaa54cc5c7,Red Star 15B Red,CA,M,U11,0,23630,16
59e2d9fa434e,Nido Aguila SD Cabrales B2015,CA,M,U11,0,23630,23
a39f8e77d000,LISC Boys 2015 Premier,NY,M,U11,0,23630,19
77e6bec9f619,B2015 Caithness,CA,M,U11,0,23630,31
53bf595058b4,INTER EMSSC,IL,M,U11,0,23630,22
7a0f2e113201,VSA 15B Pre-ECNL I VDA West,VA,M,U11,0,23630,22
53410514bf86,GC United,NY,M,U11,0,23630,23
6e1c9ff0be21,HB B2015 Blue,CA,M,U11,0,23630,21
d6c1bc6aab5b,Elite Boys 2015 Blue,NY,M,U11,0,23630,24
6c416c416cb1,Legends SC 15B-A,CA,M,U11,0,23630,29
68676db5af9f,Carlsbad B15 Pre MLS Next II - Menezes,CA,M,U11,0,23630,20
975e071c34cf,Peninsula SC Fire Red 15B,CA,M,U11,0,23630,24
b3f9c2b8b66d,TBU 2015B North Red WFPL,FL,M,U11,0,23630,27
e404595b6e09,PHENOM B2015II,CA,M,U11,0,23630,27
80a365289b7a,B15 Green,CA,M,U11,0,23630,20
6e65d3dfec65,FHFC 2015 B White,FL,M,U11,0,23630,17
18b2885b144d,Lightning 15 Teal,CA,M,U11,0,23630,40
a9ceac8af871,California Rush B15 Azul - Huntington Beach,CA,M,U11,0,23630,43
134f017ebf34,Animals 2015,NJ,M,U11,0,23630,19
79a97def0b21,RAYADOS ACADEMY 2015 AZUL,CA,M,U11,0,23630,14
a13f7368c3dc,BVB 15B PreECNL Elite (Klassen),TX,M,U11,0,23630,32
038039425a41,Michigan Wolves 15 Academy Black,MI,M,U11,0,23630,15
1e8692303fe2,STLDA 2015B Elite Silver,MO,M,U11,0,23630,25
3a10ebb82447,15B EA2,CA,M,U11,0,23630,20
f40ab5434971,IdeaSport 2015 Pre-MLS 1,FL,M,U11,0,23630,20
a19e538e96b4,Diablo Valley FC 15B Delta 2,CA,M,U11,0,23630,25
e1d336af75ef,Athletico (2015),NY,M,U11,0,23630,19
c1659f83f9cf,Central 15 B Red,MI,M,U11,0,23630,25
695ac7c965c6,NB B2015 Blue,CA,M,U11,0,23630,24
91c8d95a9d72,B2015 Black,MA,M,U11,0,23630,18
3ba0941cea3c,B2015 Academy Dirkes,CA,M,U11,0,23630,22
de659d5c6734,SWM Kickers 2015B White,MI,M,U11,0,23630,15
7bc3cbeef8d2,South Valley Chivas 2015 Navy,CA,M,U11,0,23630,28
