team_name,team_id,age_group,gender,source,points,state,rank,url,provider
Wilton G2016 Courage,,U10,Female,GotSport Rankings,0,CT,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=78,GotSport
Joga Bonito Academy 2016 Girls,,U10,Female,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=83,GotSport
Ridgefield G2016 Black (U10),,U10,Female,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=58,GotSport
Ridgefield G2016 Orange (U10),661215.0,U10,Female,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=79,GotSport
G2016 Orange,,U10,Female,GotSport Rankings,0,CT,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=29,GotSport
Inter CT FC - Union 2016 Girls SL,,U10,Female,GotSport Rankings,0,CT,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=56,GotSport
Ridgefield G2016 Orange (U10),,U10,Female,GotSport Rankings,0,CT,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=82,GotSport
G2016 EDP Championship White,,U10,Female,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=95,GotSport
Inter CT FC - Union 2016 Girls EDP,,U10,Female,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=64,GotSport
New Canaan FC 2016 Girls Red,549076.0,U10,Female,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=21,GotSport
Wilton G2016 Courage,547574.0,U10,Female,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=78,GotSport
Glastonbury Red Bulls,,U10,Female,GotSport Rankings,0,CT,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=20,GotSport
Olé Select 2016 Girls Yellow,626650.0,U10,Female,GotSport Rankings,0,CT,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=11,GotSport
Wilton G2016 Spirit,547575.0,U10,Female,GotSport Rankings,0,CT,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=54,GotSport
G2016 EDP Championship Blue,466098.0,U10,Female,GotSport Rankings,0,CT,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=45,GotSport
